Cruise,Station,Type,Date_Time,Longitude_[decimal_degrees_east],Latitude_[decimal _degrees_north],Bottom_Depth_[m],Cast_Number,Depth_[m],Accepted_Organism_Identification,Life_Stage,APHIA_ID,Abundance_[#/m3],Biomass_[mg dw/m3]
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Acartia longiremis, ,104257,174.207,0.709
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Acartia, ,104108,156.786,0.1957
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Aglantha digitale, ,117849,69.683,0.1961
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Aglantha digitale, ,117849,0.408,2.9537
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Bivalvia, ,105,836.191,0.1872
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Calanoida,nauplii,1100,505.199,0.1645
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Calanus glacialis/marshallae, ,196770,37.019,10.3411
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Centropages abdominalis, ,196774,87.103,0.9169
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Clione limacina, ,139178,0.136,0.3151
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Cyclopoida,nauplii,1101,17.421,0.0005
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Bryozoa,cyphonautes,146142,1393.652,0.6694
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Echinodermata,larvae,1806,557.461,0.0973
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Eucalanus bungii, ,196775,7.077,0.5162
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Euphausiacea,juvenile,1128,2.722,0.2787
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Evadne nordmanni, ,106273,52.262,0.357
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Fritillaria borealis, ,103375,609.723,0.0161
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Gastropoda,larvae,101,34.841,0.0187
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Limacina helicina, ,140223,104.524,0.0602
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Decapoda,megalopa,1130,0.272,0.5203
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Cnidaria, ,1267,0.136,0.0077
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Neocalanus plumchrus, ,196772,1.089,0.7262
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Oikopleura vanhoeffeni, ,103417,4.9,1.7347
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Oikopleura vanhoeffeni, ,103417,609.723,8.1955
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Oithona similis, ,106656,9894.906,10.2703
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Ophiuroidea,larvae,123084,975.557,0.5158
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Paguridae,zoea,106738,1.089,0.2
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Podon leuckartii, ,106277,121.945,0.1776
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Polychaeta,larvae,883,1167.184,3.1985
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Pseudocalanus acuspes, ,104514,17.421,0.1289
AMBON2015,CL0,TWINRING_150UM_MICROSCOPY,2015-08-13T04:47,-166.418,68.9027,30,,27,Pseudocalanus, ,104165,696.826,1.9283
