eventDate,decimalLatitude,decimalLongitude,eventID,alternate eventID,basisOfRecord,taxonID,nameAccordingToID,NCBI_ID,scientificName,organismQuantity,organismQuantityType,occurrenceStatus,Phylum,Class,Order,Family,Genus,Species,Subspecies,parentEventID,minimumDepthinMeters,maximumDepthinMeters
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,111600,WoRMS,51987,Alcyonidium gelatinosum,11.52,g wet weight per 1000 m2,present,Bryozoa,Gymnolaemata,Ctenostomatida,Alcyonidiidae,Alcyonidium,gelatinosum,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,159928,WoRMS,1503213,Amicula vestita,57.61,g wet weight per 1000 m2,present,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Amicula,vestita,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,490701,WoRMS,,Anomalisipho verkruezeni,19.2,g wet weight per 1000 m2,present,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Anomalisipho,verkruezeni,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,107006,WoRMS,397924,Argis sp.,115.21,g wet weight per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Crangonidae,Argis,,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,103700,WoRMS,,Ascidia callosa,399.4,g wet weight per 1000 m2,present,Chordata,Ascidiacea,Phlebobranchia,Ascidiidae,Ascidia,callosa,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,254497,WoRMS,7602,Asterias amurensis,5242.14,g wet weight per 1000 m2,present,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Asterias,amurensis,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,103814,WoRMS,864691,Boltenia echinata,595.26,g wet weight per 1000 m2,present,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Boltenia,echinata,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,146733,WoRMS,1472675,Boreotrophon truncatus,3.84,g wet weight per 1000 m2,present,Mollusca,Gastropoda,Neogastropoda,Muricidae,Boreotrophon,truncatus,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,1803,WoRMS,7568,Brachiopoda,7.68,g wet weight per 1000 m2,present,Brachiopoda,,,,,,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,146142,WoRMS,10205,Bryozoa,134.41,g wet weight per 1000 m2,present,Bryozoa,,,,,,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,103740,WoRMS,,Chelyosoma macleayanum,84.49,g wet weight per 1000 m2,present,Chordata,Ascidiacea,Phlebobranchia,Corellidae,Chelyosoma,macleayanum,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,107315,WoRMS,41210,Chionoecetes opilio,30.72,g wet weight per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Chionoecetes,opilio,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,391825,WoRMS,644112,Chlamys behringiana,153.62,g wet weight per 1000 m2,present,Mollusca,Bivalvia,Pectinida,Pectinidae,Chlamys,behringiana,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,137722,WoRMS,52628,Crepidula sp. ,1.92,g wet weight per 1000 m2,present,Mollusca,Gastropoda,Littorinimorpha,Calyptraeidae,Crepidula,,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,124154,WoRMS,60567,Crossaster papposus,76.81,g wet weight per 1000 m2,present,Echinodermata,Asteroidea,Valvatida,Solasteridae,Crossaster,papposus,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,110842,WoRMS,1545972,Dendrobeania sp. ,11.52,g wet weight per 1000 m2,present,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Dendrobeania,,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,181923,WoRMS,,Diastylis alaskensis,1.92,g wet weight per 1000 m2,present,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,alaskensis,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,515737,WoRMS,587146,Eualus gaimardii gaimardii,172.82,g wet weight per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Thoridae,Eualus,gaimardii,gaimardii,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,130746,WoRMS,862927,Eunoe oerstedi,7.68,g wet weight per 1000 m2,present,Annelida,Polychaeta,Phyllodocida,Polynoidae,Eunoe,oerstedi,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,333489,WoRMS,,Gaudichaudius iphionelloides,0.96,g wet weight per 1000 m2,present,Annelida,Polychaeta,Phyllodocida,Polynoidae,Gaudichaudius ,iphionelloides,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,123586,WoRMS,105880,Gorgonocephalus sp.,11.52,g wet weight per 1000 m2,present,Echinodermata,Ophiuroidea,Euryalida,Gorgonocephalidae,Gorgonocephalus,,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,250674,WoRMS,254849,Halocynthia aurantium,3245.14,g wet weight per 1000 m2,present,Chordata,Ascidiacea,Stolidobranchia,Pyuridae,Halocynthia,aurantium,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,123276,WoRMS,60577,Henricia sp.,3.84,g wet weight per 1000 m2,present,Echinodermata,Asteroidea,Spinulosida,Echinasteridae,Henricia,,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,248342,WoRMS,646209,Heteropora sp.,7.68,g wet weight per 1000 m2,present,Bryozoa,Stenolaemata,Cyclostomatida,Heteroporidae,Heteropora,,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,107323,WoRMS,362706,Hyas coarctatus,138.25,g wet weight per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Hyas,coarctatus,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,1337,WoRMS,6074,Hydrozoa,46.08,g wet weight per 1000 m2,present,Cnidaria,Hydrozoa,,,,,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,248348,WoRMS,174388,Labidochirus splendescens,15.36,g wet weight per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Paguridae,Labidochirus,splendescens,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,107520,WoRMS,397956,Lebbeus groenlandicus,38.4,g wet weight per 1000 m2,present,Arthropoda,Malacostraca,Decapoda,Thoridae,Lebbeus,groenlandicus,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,369158,WoRMS,,Leptasterias arctica,499.25,g wet weight per 1000 m2,present,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,arctica,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,125154,WoRMS,59564,Leptasterias polaris,729.68,g wet weight per 1000 m2,present,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Leptasterias,polaris,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,141819,WoRMS,1113278,Margarites costalis,3.84,g wet weight per 1000 m2,present,Mollusca,Gastropoda,Trochida,Margaritidae,Margarites,costalis,,AMBON,28.8,28.8
8/13/2015 12:34,68.9,-166.42,CL0,,HumanObservation,102837,WoRMS,371442,Melita dentata,1.92,g wet weight per 1000 m2,present,Arthropoda,Malacostraca,Amphipoda,Melitidae,Melita,dentata,,AMBON,28.8,28.8
